gds_sclsf_nm,month,grade,vwap_grade,vwap_all,ratio,n
감홍,10,4등,6691.580419580419,5733.438291212079,1.1671147537834203,42
감홍,10,등외,5292.363636363636,5733.438291212079,0.9230697824855811,55
감홍,10,무등급,3592.5690607734805,5733.438291212079,0.6265994117840226,40
감홍,10,보통,1979.2407108239095,5733.438291212079,0.34521008342543574,55
감홍,10,상,4535.310734463277,5733.438291212079,0.7910280889243666,274
감홍,10,특,6574.046101801589,5733.438291212079,1.1466149573595221,628
기타,1,4등,4595.253473526099,3627.0372958736807,1.266944092015242,43
기타,1,6등,3522.8933333333334,3627.0372958736807,0.9712867682229717,33
기타,1,등외,3551.751467710372,3627.0372958736807,0.9792431612851188,63
기타,1,무등급,2922.6470588235293,3627.0372958736807,0.8057945977419353,47
기타,1,보통,2368.9858314690528,3627.0372958736807,0.6531462563575353,73
기타,1,상,3137.9233759022763,3627.0372958736807,0.8651478107137615,157
기타,1,특,3766.0965315361314,3627.0372958736807,1.0383396211063647,917
기타,2,등외,2014.09604519774,2773.069435431538,0.7263056667329038,39
기타,2,특,3007.045735475896,2773.069435431538,1.0843744830384845,131
기타,3,무등급,1858.2926829268292,2477.955104222341,0.7499299239765762,36
기타,3,보통,2178.321513002364,2477.955104222341,0.8790802986263098,30
기타,3,상,1668.8550674507092,2477.955104222341,0.6734807521762778,73
기타,3,특,3222.8013126491646,2477.955104222341,1.3005890652165708,144
기타,4,등외,2488.6046511627906,3362.412119032635,0.7401248160736351,38
기타,4,보통,1859.0506780870808,3362.412119032635,0.5528919752472011,56
기타,4,상,2785.306001188354,3362.412119032635,0.8283654420058674,113
기타,4,특,3763.1943617232478,3362.412119032635,1.1191948602677289,233
기타,5,무등급,2365.1317440401504,3406.3728696849716,0.6943255581585472,32
기타,5,보통,1831.0753768844222,3406.3728696849716,0.5375440231984245,34
기타,5,상,3312.729570345409,3406.3728696849716,0.9725093808217703,82
기타,5,특,3867.980733605039,3406.3728696849716,1.1355130168009933,183
기타,6,상,2772.553459119497,3632.6913710261306,0.7632229594930687,59
기타,6,특,4755.065663272834,3632.6913710261306,1.3089649457145227,112
기타,7,6등,3080.271739130435,3570.6107757021337,0.8626736243814541,48
기타,7,7등,3207.7639751552797,3570.6107757021337,0.8983796265288807,50
기타,7,8등,2889.031198686371,3570.6107757021337,0.8091140088261972,53
기타,7,등외,3153.1060606060605,3570.6107757021337,0.8830719052501672,144
기타,7,무등급,905.8165322580645,3570.6107757021337,0.25368671892834427,68
기타,7,보통,603.2495164410058,3570.6107757021337,0.16894855091630123,41
기타,7,상,1903.5274356103023,3570.6107757021337,0.5331097549370915,191
기타,7,특,4394.164495049839,3570.6107757021337,1.2306478558099798,852
기타,8,6등,1592.1608040201006,1666.9316592173052,0.9551446186868197,80
기타,8,7등,1271.7133956386292,1666.9316592173052,0.7629067386216375,83
기타,8,8등,865.84229390681,1666.9316592173052,0.5194227904420267,73
기타,8,등외,2894.65601965602,1666.9316592173052,1.73651751327057,33
기타,8,무등급,656.8790264853257,1666.9316592173052,0.39406476135545837,128
기타,8,상,900.5781564533496,1666.9316592173052,0.540260994788598,98
기타,8,특,3380.672945189074,1666.9316592173052,2.0280813112497023,314
기타,9,4등,5742.768906297078,3732.8692942853827,1.538432892651407,123
기타,9,6등,2556.5195460277428,3732.8692942853827,0.6848671476232764,119
기타,9,7등,1763.5478637101137,3732.8692942853827,0.47243761425290565,90
기타,9,8등,1689.156976744186,3732.8692942853827,0.45250900676594863,58
기타,9,등외,3813.652945321892,3732.8692942853827,1.0216411678705655,120
기타,9,무등급,1851.7974263179742,3732.8692942853827,0.4960788284639044,180
기타,9,보통,1055.6564875660354,3732.8692942853827,0.2828002815909281,137
기타,9,상,2801.9523952997893,3732.8692942853827,0.750616261755876,456
기타,9,특,4811.598495653086,3732.8692942853827,1.288981241057414,1105
기타,10,4등,3899.3333333333335,5168.157269632021,0.7544920036094356,48
기타,10,6등,3543.4913793103447,5168.157269632021,0.6856392316332598,50
기타,10,7등,2781.784776902887,5168.157269632021,0.5382546683028773,40
기타,10,8등,2371.4736842105262,5168.157269632021,0.45886252303993413,37
기타,10,등외,5529.316268580941,5168.157269632021,1.0698815806305049,381
기타,10,무등급,2274.4804473705085,5168.157269632021,0.44009505297667817,75
기타,10,보통,1406.9714803078316,5168.157269632021,0.27223851885761396,55
기타,10,상,3526.5726231262493,5168.157269632021,0.6823655781236211,596
기타,10,특,5877.455929212079,5168.157269632021,1.1372440161114836,1442
기타,11,보통,3507.377049180328,4815.439935514749,0.7283606682149188,38
기타,11,상,4051.730959446093,4815.439935514749,0.8414041112970463,150
기타,11,특,5117.08354021847,4815.439935514749,1.0626409235175056,526
기타,12,상,3480.4455445544554,5161.9026169026165,0.6742563358630128,40
기타,12,특,5377.922535211268,5161.9026169026165,1.0418488945532014,311
